experiment_id,phase,model_name,activation,loss_fn,optimizer_name,lr,weight_decay,momentum,label_smoothing,epochs,batch_size,num_params,best_val_acc,test_acc,test_loss,train_time_seconds,seed
P1_VGG_A_baseline,baseline,VGG_A,ReLU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,9750922,0.337,0.3368,1.7209721199035644,198.0563132762909,42
P2_act_ReLU,activation,VGG_Half_ReLU,ReLU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.3575,0.3546,1.664757112121582,62.206796646118164,42
P2_act_LeakyReLU,activation,VGG_Half_LeakyReLU,LeakyReLU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.3715,0.3728,1.6199231693267822,64.66788411140442,42
P2_act_ELU,activation,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.583,0.5737,1.1825970026016235,78.40483212471008,42
P2_act_GELU,activation,VGG_Half_GELU,GELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.445,0.4363,1.5002824268341064,71.52224683761597,42
P2_act_SiLU,activation,VGG_Half_SiLU,SiLU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.4185,0.4199,1.5399909978866577,71.3050422668457,42
P3_loss_CE,loss,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.583,0.5737,1.1825970026016235,73.11082077026367,42
P3_loss_CE_L2_1e4,loss,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.0001,0.9,0.0,5,64,2440394,0.5885,0.5748,1.173058212852478,73.99212336540222,42
P3_loss_CE_L2_5e4,loss,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.0005,0.9,0.0,5,64,2440394,0.5755,0.5647,1.191980012321472,73.26861310005188,42
P3_loss_CE_L2_1e3,loss,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.001,0.9,0.0,5,64,2440394,0.5695,0.5557,1.21223288898468,73.78590059280396,42
P3_loss_CE_LS_01,loss,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.1,5,64,2440394,0.5805,0.5769,1.4243266412734985,74.56722712516785,42
P3_loss_CE_L1_1e5,loss,VGG_Half_ELU,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,2440394,0.5725,0.5671,1.1928329368591308,75.89840698242188,42
P4_arch_VGG_A,architecture,VGG_A,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,9750922,0.337,0.3368,1.7209721199035644,192.13519310951233,42
P4_arch_VGG_A_BatchNorm,architecture,VGG_A_BatchNorm,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,9758474,0.496,0.4886,1.3747189153671264,205.92538928985596,42
P4_arch_VGG_A_Dropout,architecture,VGG_A_Dropout,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,9750922,0.303,0.2945,1.8280134519577027,197.25109839439392,42
P4_arch_VGG_Residual,architecture,VGG_Residual,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,64,5139018,0.605,0.613,1.0709930396080016,417.57917523384094,42
P4_arch_VGG_Half,architecture,VGG_Half,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,128,2440394,0.3485,0.3504,1.6985261207580566,63.252201080322266,42
P4_arch_VGG_Quarter,architecture,VGG_Quarter,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,128,611434,0.36,0.3398,1.7209339042663574,32.99533700942993,42
P4_arch_SimpleCNN,architecture,SimpleCNN,ELU,CrossEntropy,Adam,0.001,0.0,0.9,0.0,5,128,620810,0.455,0.4618,1.466587678527832,49.29950833320618,42
P5_opt_SGD_mom0.9,optimizer,VGG_Residual,ELU,CrossEntropy,SGD,0.01,0.0,0.9,0.0,5,64,5139018,0.542,0.5431,1.2534572821617127,409.43312764167786,42
P5_opt_Adam,optimizer,VGG_Residual,ELU,CrossEntropy,Adam,0.001,0.0,0.0,0.0,5,64,5139018,0.605,0.613,1.0709930396080016,421.4550995826721,42
P5_opt_AdamW,optimizer,VGG_Residual,ELU,CrossEntropy,AdamW,0.001,0.0005,0.0,0.0,5,64,5139018,0.596,0.6093,1.086591375541687,432.5874767303467,42
P5_opt_RMSprop,optimizer,VGG_Residual,ELU,CrossEntropy,RMSprop,0.001,0.0,0.0,0.0,5,64,5139018,0.53,0.5218,1.3185985671997071,409.0903670787811,42
